,node,old_label,delta,degree,PrEP_comm
0,110,713,1.0,7,large
1,177,2639,1.0,14,large
2,1509,873,1.0,9,large
3,986,788,1.0,19,large
4,70,1849,1.0,16,large
5,157,563,1.0,22,large
6,1646,2591,1.0,9,large
7,1100,343,1.0,13,large
8,2241,1550,1.0,8,large
9,1172,1347,1.0,7,large
10,2530,1319,1.0,6,large
11,645,326,1.0,25,large
12,961,1098,1.0,16,large
13,1546,731,1.0,14,large
14,1597,1170,1.0,9,large
15,1280,1366,1.0,26,large
16,962,333,1.0,13,large
17,1290,2710,1.0,8,large
18,1743,1949,1.0,20,large
19,2164,2629,1.0,11,large
20,1127,321,1.0,24,large
21,1232,1750,1.0,13,large
22,117,16,1.0,15,large
23,1968,1487,1.0,10,large
24,2328,1311,1.0,13,large
25,236,1483,1.0,6,large
26,232,1502,1.0,8,large
27,1153,2444,1.0,7,large
28,594,1559,1.0,19,large
29,1533,1551,1.0,8,large
30,1596,1535,1.0,13,large
31,953,828,1.0,30,large
32,1088,1071,1.0,18,large
33,1378,1379,1.0,9,large
34,1939,2081,1.0,9,large
35,118,17,1.0,10,large
36,1156,2677,1.0,14,large
37,866,379,1.0,19,large
38,1906,342,1.0,16,large
39,1956,2713,1.0,7,large
40,361,1331,1.0,23,large
41,922,589,1.0,14,large
42,103,1511,1.0,20,large
43,1470,1010,1.0,20,large
44,2208,1210,1.0,9,large
45,2021,1926,1.0,7,large
46,211,351,1.0,20,large
47,1929,1303,1.0,10,large
48,1144,2640,1.0,6,large
49,550,1847,1.0,6,large
50,2580,2808,1.0,3,small
51,875,1529,1.0,4,small
52,2484,1479,1.0,4,small
53,1322,2942,1.0,4,small
54,1797,2880,1.0,7,small
55,2593,2774,1.0,2,small
56,2713,1119,1.0,4,small
57,268,2835,1.0,4,small
58,2618,860,1.0,2,small
59,2271,2409,1.0,5,small
60,1964,2426,1.0,3,small
61,2383,568,1.0,6,small
62,2882,2026,1.0,3,small
63,1003,1354,1.0,10,small
64,2222,1022,1.0,4,small
65,1185,2507,1.0,7,small
66,468,1058,1.0,4,small
67,2407,2610,1.0,3,small
68,1886,1477,1.0,4,small
69,1818,858,1.0,4,small
70,2147,1371,1.0,3,small
71,2549,2615,1.0,4,small
72,1845,630,1.0,2,small
73,1859,1450,1.0,3,small
74,1299,1890,1.0,4,small
75,2633,1807,1.0,4,small
76,1917,1442,1.0,3,small
77,1612,2575,1.0,4,small
78,495,870,1.0,5,small
79,2923,2398,1.0,3,small
80,2720,1358,1.0,4,small
81,2433,882,1.0,4,small
82,1330,1676,1.0,4,small
83,2058,1438,1.0,4,small
84,1130,1854,1.0,5,small
85,1498,2798,1.0,4,small
86,2363,1207,1.0,7,small
87,2775,1815,1.0,4,small
88,2654,2097,1.0,4,small
89,333,2636,1.0,3,small
90,1112,667,1.0,3,small
91,1872,1948,1.0,4,small
92,2768,1486,1.0,4,small
93,1650,1452,1.0,4,small
94,2103,1642,1.0,2,small
95,625,2582,1.0,7,small
96,1320,1980,1.0,7,small
97,1023,996,1.0,4,small
98,89,2138,1.0,2,small
99,1178,1495,1.0,2,small
