,t,nS,nE,nI1,nI1p,nI2,nI2p,nL1,nL1p,nL2,nL2p,nT1,nT2,nT3,node
0,0.0,2960,1,0,0,0,0,0,0,0,0,0,0,0,1570
1,1.238095398051936,2960,0,0,1,0,0,0,0,0,0,0,0,0,1570
2,1.676476282349105,2960,0,0,0,0,1,0,0,0,0,0,0,0,1570
3,3.301286815082576,2959,1,0,0,0,1,0,0,0,0,0,0,0,2214
4,3.681101569834665,2959,1,0,0,0,0,0,0,0,0,1,0,0,1570
5,4.345610560620652,2960,1,0,0,0,0,0,0,0,0,0,0,0,1570
6,5.920122523267789,2960,0,1,0,0,0,0,0,0,0,0,0,0,2214
7,7.4741916875987116,2959,1,1,0,0,0,0,0,0,0,0,0,0,2413
8,8.926155874115544,2959,0,2,0,0,0,0,0,0,0,0,0,0,2413
9,9.464328383655731,2959,0,1,0,1,0,0,0,0,0,0,0,0,2214
10,9.743348013034597,2959,0,1,0,0,0,0,0,0,0,1,0,0,2214
11,9.76606819073878,2960,0,1,0,0,0,0,0,0,0,0,0,0,2214
