,node,prop_trt,degree
0,2611,0.2864321608040201,3
1,2138,0.32930845225027444,2
2,2835,0.27628458498023717,4
3,2636,0.2963290579389651,3
4,1058,0.298376480912681,4
5,870,0.2826722338204593,5
6,2582,0.27909692487349164,7
7,87,0.2795959595959596,5
8,1529,0.2812135355892649,4
9,1932,0.27419354838709675,7
10,1354,0.2686512311650129,10
11,996,0.29320565435476514,4
12,667,0.3092890503373119,3
13,1854,0.28946254760897167,5
14,1495,0.2927264614011602,2
15,2507,0.27900552486187846,7
16,1890,0.28995633187772923,4
17,1980,0.26905995558845297,7
18,2942,0.277431906614786,4
19,1676,0.27525450274079877,4
20,2798,0.29189647857445905,4
21,2656,0.313307130825379,2
22,1572,0.2797286512370311,4
23,2575,0.2739412438000763,4
24,1987,0.29761347683668693,5
25,266,0.2855340622371741,3
26,1452,0.2746748278500383,4
27,1489,0.2984869325997249,2
28,2880,0.2701298701298701,7
29,1447,0.27931437475652515,4
30,858,0.28182941903584674,4
31,630,0.3068893528183716,2
32,1450,0.2990309183202584,3
33,1774,0.27979066022544286,5
34,1948,0.2779727095516569,4
35,1477,0.29246064623032314,4
36,1442,0.28182546036829464,3
37,2426,0.30454096742349457,3
38,364,0.2733180428134557,7
39,1406,0.2803663878932696,5
40,1438,0.27894112998814696,4
41,1642,0.28473620620217477,2
42,1371,0.2976949485041687,3
43,1481,0.2855397148676171,4
44,1022,0.29071969696969696,4
45,2409,0.2857142857142857,5
46,1207,0.2718773373223635,7
47,568,0.2838709677419355,6
48,1338,0.2921828278513456,7
49,2610,0.288917089678511,3
50,882,0.2911993097497843,4
51,1021,0.31150550795593634,4
52,1479,0.30368968779564803,4
53,2296,0.2874031797798614,4
54,2615,0.28542262147815434,4
55,2808,0.29077117572692796,3
56,2774,0.31511470985155193,2
57,860,0.32461355529131986,2
58,2314,0.29452369995398064,5
59,1807,0.3148717948717949,4
60,2097,0.28086672117743255,4
61,1090,0.2873369793857804,4
62,1119,0.28990901571546734,4
63,1358,0.30693581780538304,4
64,1260,0.2797805642633229,5
65,1486,0.30705821741370426,4
66,1815,0.30033003300330036,4
67,2026,0.3296011196641008,3
68,2398,0.3116226838854576,3
