,comm,size,n_trt,prop
0,1.0,2478.0,624.0,0.252
1,2.0,5.0,2.0,0.4
2,3.0,3.0,2.0,0.667
3,4.0,3.0,2.0,0.667
4,5.0,3.0,2.0,0.667
5,6.0,2.0,2.0,1.0
6,7.0,2.0,2.0,1.0
7,8.0,2.0,2.0,1.0
8,9.0,2.0,2.0,1.0
9,10.0,2.0,2.0,1.0
10,11.0,2.0,2.0,1.0
11,13.0,4.0,1.0,0.25
12,14.0,4.0,1.0,0.25
13,15.0,3.0,1.0,0.333
14,16.0,3.0,1.0,0.333
15,17.0,2.0,1.0,0.5
16,18.0,2.0,1.0,0.5
17,19.0,2.0,1.0,0.5
18,20.0,2.0,1.0,0.5
19,21.0,2.0,1.0,0.5
20,22.0,2.0,1.0,0.5
21,23.0,2.0,1.0,0.5
22,24.0,2.0,1.0,0.5
23,25.0,2.0,1.0,0.5
24,26.0,2.0,1.0,0.5
25,27.0,2.0,1.0,0.5
26,28.0,2.0,1.0,0.5
27,29.0,2.0,1.0,0.5
28,31.0,2.0,1.0,0.5
29,32.0,1.0,1.0,1.0
30,33.0,1.0,1.0,1.0
31,34.0,1.0,1.0,1.0
32,35.0,1.0,1.0,1.0
33,36.0,1.0,1.0,1.0
34,37.0,1.0,1.0,1.0
35,38.0,1.0,1.0,1.0
36,39.0,1.0,1.0,1.0
37,40.0,1.0,1.0,1.0
38,41.0,1.0,1.0,1.0
39,42.0,1.0,1.0,1.0
40,43.0,1.0,1.0,1.0
41,44.0,1.0,1.0,1.0
42,45.0,1.0,1.0,1.0
43,46.0,1.0,1.0,1.0
44,47.0,1.0,1.0,1.0
45,48.0,1.0,1.0,1.0
46,49.0,1.0,1.0,1.0
47,50.0,1.0,1.0,1.0
48,51.0,1.0,1.0,1.0
49,52.0,1.0,1.0,1.0
50,53.0,1.0,1.0,1.0
51,54.0,1.0,1.0,1.0
52,55.0,1.0,1.0,1.0
53,56.0,1.0,1.0,1.0
54,57.0,1.0,1.0,1.0
55,58.0,1.0,1.0,1.0
56,59.0,1.0,1.0,1.0
57,60.0,1.0,1.0,1.0
58,61.0,1.0,1.0,1.0
59,62.0,1.0,1.0,1.0
60,63.0,1.0,1.0,1.0
61,64.0,1.0,1.0,1.0
62,65.0,1.0,1.0,1.0
63,66.0,1.0,1.0,1.0
64,67.0,1.0,1.0,1.0
65,68.0,1.0,1.0,1.0
66,69.0,1.0,1.0,1.0
67,70.0,1.0,1.0,1.0
68,71.0,1.0,1.0,1.0
69,72.0,1.0,1.0,1.0
70,73.0,1.0,1.0,1.0
71,74.0,1.0,1.0,1.0
72,75.0,1.0,1.0,1.0
73,76.0,1.0,1.0,1.0
74,77.0,1.0,1.0,1.0
75,78.0,1.0,1.0,1.0
76,116.0,3.0,0.0,0.0
77,118.0,3.0,0.0,0.0
78,138.0,2.0,0.0,0.0
